smiles,logP,MW
O=C(C[NH+]1CCCCC1)N1CCc2n[nH]c(-c3ccc(C(F)(F)F)cc3)c2C1,2.049,393.43
COCCN1CCC[C@@](O)(CNCc2nc3ccccc3s2)C1=O,1.3858,349.46
CC(C)C(=O)C1OC1C,0.999,128.17
CC[C@H](O)c1ccn(C[C@H]2CCCO2)c1,2.1105,209.29
C1C=Cc2c1oc(=O)[nH]2,0.537,123.11
Cc1cccc(C)c1C[NH2+]C[C@H](C)[S@@](C)=O,1.13384,240.39
O=C(c1ccnc2ccccc12)N1CCN(c2ncccc2F)CC1,2.7313,336.37
COCc1nc(CNc2cnc3c(c2)COCC3)cs1,2.3693,291.38
C[C@@H]1C[C@H](NC(=O)CCCNC(=O)c2ccccc2)CN1c1ccccc1,2.9802,365.48
C1CC2C3CC1C2C=C3,2.218,120.19
Cc1sc2nc([C@H](C)OC(=O)Cn3ccc4ccccc43)[nH]c(=O)c2c1C,3.86054,381.46
C=CCN(CC(=O)Nc1c(C)cccc1C)S(=O)(=O)c1ccc(F)cc1,3.25794,376.45
CC[C@H]1CCCN(C(=O)[C@H](C)NS(=O)(=O)c2ccc(OC)cc2)C1,2.0106,354.47
Cn1cccc(NC(=O)C(=O)N2CC[C@@H](Cc3ccccc3)C2)c1=O,1.415,339.4
CC(C)C12CC(C1)CO2,1.821,126.2
O=C([O-])c1ccc(CNc2nc3ccccc3o2)o1,1.3964,257.23
CC(C)NC(=O)NC[C@@H]1CN2CCCC[C@@H]2CO1,0.9473,255.36
CCOC(=O)c1[nH]ncc1CN1CCO[C@@H](c2ccccc2F)C1,2.299,333.36
CN=C1CC(C)(O1)C#C,0.827,123.15
C=CCn1c(C)nc2sc(CC)cc2c1=O,2.5148200000000003,234.32
CCn1cnnc1SCC(=O)Nc1ccc(CN2CCOCC2)cc1,1.861,361.47
CCCCn1ccnn1,1.078,125.17
C[C@@H]1CCCN(C(=O)N[C@H]2C=C[C@@H](C(=O)[O-])C2)C1,0.1225,251.31
CC(C)C(=O)C#CC#N,0.738,121.14
CC1OC11C2CC2C1O,0.154,126.15
COc1ccc2nc(N3CCC[C@H]3C(=O)NCCCc3ccccc3)nc(C)c2c1,3.66462,404.51
O=C(NCc1ccc(F)c(CO)c1)[C@@H]1CCCN(CC(F)(F)F)C1,2.2085,348.34
CC(C)[C@H](C)NC(=O)C[NH+](C)[C@@H](C)c1ccc(-n2cncn2)cc1,1.0037,330.46
CC#CC1OC2CCC12,1.187,122.17
O=C1CCCC[C@@H]1[C@H]1CCCCN1C(=O)c1ccon1,2.4286,276.34
CCCC[C@@H](CC)CC(=O)[C@@H]1C[NH+]2CCN1CC2,0.7447,253.41
COc1ccc(Br)cc1CNC(=O)N[C@@H]1CCC[C@@H]1CO,2.4179,357.25
CC1(C)CC2(O)CC12O,0.282,128.17
Cc1cc(C)c(NC(=O)N[C@@H]2CC[NH+](Cc3ccccc3)[C@H](C)C2)c(C)c1,3.36936,366.53
CCCc1c(C(=O)N2CCO[C@@H](CCC)C2)[nH]c(C)c1C(C)=O,3.11932,320.43
O=C1CC2CC(C2)C=C1,1.542,122.17
CN[C@@]1(C#N)CCC[C@H]1CCOc1cccc(C)c1C,3.35422,272.39
Nc1cccc(-c2[nH+]ccn2[C@@H]2CCOC3(CCC3)C2)c1,2.8256,284.38
CCC1CCC=CCC1,3.143,124.23
COC[C@H](C)Nc1ncnc(NNC(=O)c2ccc(Cl)cc2Cl)c1N,2.5693,385.26
CCCCC1(CC1)C=O,2.156,126.2
[S-]c1nnc(-c2ccn[nH]2)n1-c1ccccc1,1.5632,242.29
C[C@H]1Cc2cc(NC(=O)N(C)C)cc(Cl)c2O1,2.7569,254.72
C[C@H](Cc1ccccn1)[NH+]1CCC([NH+]2CCC(C(=O)NCc3cccnc3)CC2)CC1,0.0662,423.61
CC(C)CNC(=O)c1ccc(NC(=O)N2C[C@H](C)O[C@@H](C)C2)cc1,2.7135,333.43
Cc1cc([N+](=O)[O-])ccc1NC(=O)[C@H]1CC(Cl)=CC[C@@H]1C(=O)[O-],1.74052,337.74
CC(C)n1cc(nc1)N,1.046,125.17
CC1CCC2C(C=O)C12,1.477,124.18
C1CC=CCC(=O)C1,1.686,110.16
CCCC1NC1C#C,0.76,109.17
C#C[C@H](C)Oc1ccc(C)cc1,2.39552,160.22
CCc1[nH+]ccn1CC1CC[NH+](CC(=O)N2CCCc3ccccc32)CC1,1.1389,368.53
CC(C)[C@@H](C)NC(=O)C(=O)Nc1ccc(-c2csnn2)cc1,2.3043,318.4
O=C([O-])CN(CC(F)(F)F)S(=O)(=O)c1cccc(F)c1,0.1286,314.24
CCCC1=NN=C2OC(N)=C(C#N)[C@@H](C3=C(C)NN(c4ccccc4)[C@@H]3Cl)[C@H]12,3.3747800000000003,396.88
CC1CC1(CC#C)C#N,1.559,119.17
CCOc1ccc(Cl)cc1NC(=O)c1ccc(-n2cnnn2)cc1,2.9667,343.77
Cc1cc2ncn([C@@H](C)[C@@H](C)C[NH2+]C(C)C)c2cc1C,2.8220400000000003,274.43
COC1CC1C#CCO,0.017,126.15
Cc1ccccc1NC(=O)N(C)Cc1cccn1C,2.99742,257.34
Cc1cccn2cc(CC(=O)Nc3cccc(S(=O)(=O)N4CCCCCC4)c3)[nH+]c12,2.80772,427.55
Nc1ccc2c(NCc3nn(-c4ccccc4)c4c3CCC4)nc[nH+]c2n1,2.3126,358.43
O=C(NC1CC1)c1ccccc1NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,2.9412,395.82
C=C(C)C#C[C@@H](OCC)[C@H](C(C)=O)C(=O)OCC,1.7393,252.31
CC1(C)C=CCC1C#C,2.222,120.19
Cn1ncc2c(N3CCC[C@@H](c4nc5ccccc5[nH]4)C3)ncnc21,2.6236,333.4
CC(C)(CC#C)COC,1.682,126.2
Cc1csc(=O)n1CCC(=O)NC[C@@H]1CCC(C)(C)c2ccccc21,3.57972,358.51
CCn1cc(C(=O)CN2CCOCC2)c2ccccc21,2.1761,272.35
Cc1ccc(C[NH+]2CCC(C(=O)[O-])(n3ccc(C(C)(C)C)n3)CC2)o1,0.40612,345.44
CC1(C=O)C2CC=CC12,1.397,122.17
Cc1cc(Cl)ccc1OCC(=O)NNC(=O)COc1ccc(Cl)cc1Cl,3.56042,417.68
CCC(CCC#N)C#C,1.95,121.18
C[C@H]1C[C@@H](NC(=O)Cn2c(=O)cnc3ccccc32)CN1c1ccccc1,2.1801,362.43
CC12CC(C#C)C1(C)N2,0.76,121.18
C[C@@H](Oc1cccc(C#N)c1)C(=O)N1CCCCC[C@@H]1c1ccncc1,3.86448,349.43
CC1CC1OC1CC1C,1.82,126.2
CC(C)[NH+]1CCC(CNC(=O)C2(c3ccc(F)cc3)CCOCC2)CC1,1.6934,363.5
CC(CC#C)C1CC1,2.056,108.18
CC1C(CC11CC1)C=O,1.621,124.18
CCOC(=O)N1CCC(NC(=O)[C@H]2CCCN(c3nc4ccccc4o3)C2)CC1,2.7813,400.48
CC1([C@H]([NH3+])Cc2cccs2)CCCC1,2.4814,210.37
CC(=O)NNC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,1.0291,257.63
C[C@H]1Oc2ccc(NC(=O)Cc3csc(-n4cccc4)n3)cc2NC1=O,2.8344,368.42
C[C@H]1CCC[C@@H](NC(=O)c2cc(S(=O)(=O)N3CCOCC3)c(Cl)cc2Cl)[C@@H]1C,3.5688,449.4
Cc1cnccc1CCN[C@H](C)c1cccc(N2CCOC2=O)c1,3.23992,325.41
CCOc1ccc(C(=O)NNC(=O)COc2ccccc2C)cc1Br,2.99622,407.26
CCC(=O)Nc1nc2ccc(NS(=O)(=O)c3ccc(OC)c(OC)c3)cc2s1,3.4628,421.5
CC12CC(CCO)(C1)C2,1.559,126.2
CCCCC(C)N1CC1,1.881,127.23
CC(C)n1nc(C(=O)Nc2ccc(C#N)cc2)c2ccccc2c1=O,3.10138,332.36
CC(C)(C)OC(=O)N1C(=O)N(CC#N)C(C)(C)C1=O,1.48788,267.28
C1CC1N=C(C#N)N,0.03,109.13
C[C@H](C(=O)Nc1ccc([N+](=O)[O-])cc1Cl)N1CCC[C@H]([NH+](C)Cc2ccccc2)CC1,3.1446,445.97
C/[NH+]=C(/NCc1ccc(C(=O)N(C)C)cc1)N[C@@H]1C[C@@H]1c1ccccc1F,0.8292,369.46
CC1COC(C)OC1,1.015,116.16
COc1ncccc1C[NH2+][C@@H]1CC(C)(C)OC1(C)C,1.4997,265.38
Cc1ccc(O)c(NC(=O)CCS(=O)(=O)C2CCCC2)c1,2.38662,311.4
COc1cc(C[NH+]2CCc3c([nH]c4ccccc34)C2)cc(Cl)c1OCC(N)=O,1.8352,400.89
Cc1c[nH]c2c1[nH]cc2,1.804,120.15
C=C(C)CN(CC)C(=O)c1ccc(-n2cccc2)nc1,2.9105,269.35
CC(=O)Nc1ccc(F)c(C(=O)Oc2ccccc2C)c1,3.31172,287.29
Cc1cc(=O)[nH]c(-c2ccc(NCc3ccccc3C)nc2)n1,3.06084,306.37
C1C2C3C4C=CC2C4N13,0.485,119.17
NS(=O)(=O)c1ccc(NC(=O)C2=NN=C3c4ccccc4OC[C@H]23)cc1,1.14,370.39
Cc1cccc(C(=O)Oc2ccc3c(C)cc(=O)oc3c2)n1,3.0240400000000003,295.29
N#C/C(=C\c1ccc(O)c(I)c1)c1nc2ccccc2[nH]1,3.93728,387.18
COc1ccccc1-n1nnnc1SCC(=O)NC1CCCCC1,2.2119,347.44
COCCn1/c(=N/C(=O)c2ccc(SC)cc2)sc2cc(F)ccc21,3.9513,376.48
Nc1ccc2nc(N[C@@H]3CCc4ccccc4C3)oc2c1,3.3794,279.34
O=[N+]([O-])c1ccc(Oc2nccc3ccccc23)cc1,3.9353,266.26
CC1N(C)C1(C)CCO,0.461,129.2
CC/[NH+]=C(/NCc1c(O)ccc2c1CCCC2)N(C)Cc1ncnn1C,0.0776,357.48
CC1(CC2CC12)OC=N,1.409,125.17
Cc1cc(C)c(O)c(C(=O)Nc2ccc(F)cc2[N-]S(C)(=O)=O)c1,3.36524,351.38
CC(=O)Nc1ccc(CC(=O)Nc2c(C)cccc2Cl)cc1,3.78802,316.79
C1CC2CC=CCC2O1,1.742,124.18
Cc1cc2c(cc1C)O[C@H](C(=O)N(C)[C@H](C)CC#N)C2,2.3675200000000003,272.35
C[C@@H]1CC[C@]1(C[NH3+])c1ccc(Br)cc1,2.3587,255.18
CC1=C(F)OC=CC1=N,1.207,127.12
CC1(CNC(=O)N2CCOC[C@@H]2C2CC2)CCC1,1.997,252.36
C1CC11CC2NC12,0.511,95.14
COc1ccc(CC[C@@H](O)[C@H](C)c2ccccn2)cc1,3.1874,271.36
Cc1c([O-])nc(CCNC(=O)c2sccc2C(C)C)[nH]c1=O,1.30932,320.39
Cc1nc2c(s1)[C@H]([NH2+][C@@H]1CCc3n[nH]cc3C1)CCC2,1.67292,289.43
C[C@@H]1CCN(C(=O)Nc2nn(C(C)(C)C)cc2C#N)C[C@@H]1O,1.7443799999999998,305.38
COCc1cc(C(=O)Nc2cccc([S@](C)=O)c2)no1,1.8107,294.33
C[C@H](CC(C)(C)c1ccccc1)NC(=O)Cc1ccc(S(N)(=O)=O)cc1,2.7491,374.51
COc1sc(CN2CCOC[C@@H]2C2CC2)cc1Br,3.13,332.26
CCC[NH2+]Cc1ncoc1C1CCC(C(C)(C)C)CC1,3.4679,279.45
Cc1ccc([C@@H](CNC(=O)C(=O)NCc2cccs2)[NH+](C)C)cc1,0.67472,346.48
CN(C)c1ccc(CNC(=O)N2CCN(C)c3ccccc3C2)c[nH+]1,1.7283,340.45
COc1ccc(COCCNC(=O)Nc2cc(C)cc(C)c2)cc1,3.65034,328.41
C#CCC#CC#CCO,0.009,118.13
CC1=C2C(=O)N=C([C@@H](C)S[C@@H]3N=C(c4ccccc4)CN3N)N=C2S[C@H]1C,2.8593,399.55
C[C@@H]([NH2+][C@H](C)c1cccc(OCC(=O)N(C)C)c1)c1ccccc1,2.5392,327.45
COC[C@@H](NC(=O)CSc1cc(Cl)ccc1Cl)C(N)=O,1.702,337.23
COCc1nc(C(=O)Nc2cccc(NC(=O)OC)c2)cs1,2.7201,321.36
Cc1nc(CN(C)C(=O)c2n[nH]c3c2CCC3)nc2c1CCC(=O)N2Cc1ccccc1,2.74842,430.51
CN(CC(=O)Nc1c(Cl)cccc1Cl)C(=O)c1cccc(S(C)(=O)=O)c1,3.1076,415.3
O=C(C1CC[NH+](Cc2cccc(Cl)c2)CC1)N1CCN(c2ccccc2)CC1,2.4837,398.96
N#Cc1ccccc1N1CCN(Cc2ccc([N+](=O)[O-])cc2)CC1,2.78868,322.37
Cc1cc(C(=O)NC[C@@H]2CC[NH+](Cc3nc4ccccc4[nH]3)C2)n[nH]1,0.42922,339.42
COC1(CO)C(C)C1C,0.65,130.19
c1ccc(OCCCNC2=[NH+]CCCCC2)cc1,1.0982,247.36
COc1ccc(NC(=O)[C@H]2CC(=O)N(CC(F)(F)F)C2)cc1Cl,2.6979,350.72
Cc1nc(C(C)(C)C)sc1[C@H](C)[NH2+]C[C@@H]1CN(C)CCO1,1.70402,312.5
CC(O)CC(C)CO,0.386,118.18
C1CC2C1C1C3OC3C21,1.04,122.17
CN(Cc1ccccc1N1CCOCC1)C(=O)CNC(=O)c1cccc([N+](=O)[O-])c1,1.8198,412.45
CCCN1CCO[C@@H](C(=O)Cc2cc(Cl)ccc2Cl)C1,3.2158,316.23
C[C@@H](Sc1ncc(C(F)(F)F)cc1Cl)C(=O)N1CCN(S(=O)(=O)c2ccccc2)CC1,3.7675,493.96
O=C(OCC(=O)N1CCCC1)c1cn(-c2ccccc2)nc1-c1ccc(F)cc1,3.4576,393.42
CC(=O)c1ccccc1NC(=O)CNc1c(C)cccc1C(=O)N1CCCC1,3.48422,379.46
Cc1ccccc1NC(=O)[C@@H](C)Nc1ccc(CCN2CCOCC2)cc1,3.30882,367.49
c1c(c(c([nH]1)C#N)N)O,0.174,123.11
C=CCOc1ccc(C[NH+]2CCC(N(C)C(C)=O)CC2)cc1OC,1.2856,333.45
O=C(CCc1ccccc1)Nc1ccnn1C1CCN(C(=O)c2cnccn2)CC1,2.7217,404.47
CCN(CC)C(=O)C[NH+]1CCCN(C(=O)c2cccc(Br)c2)CC1,1.0483,397.34
COc1nc2ccccc2cc1CN1C[C@@H]2[C@H](C1)C[NH+]1CCCC[C@H]21,1.7424,338.48
CC1OC1C(N)CC#N,0.015,126.16
CC1C2CC1C(O)CO2,0.402,128.17
CCC(C)C(C)COC,2.315,130.23
CCCCNC(=O)C(=O)Nc1c(C)cccc1C(=O)N1CCCC1,2.08582,331.42
CC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1/N=C/c1c[nH]c2ccccc12,1.6187,376.46
C=CCSc1nnc2n1CCCCC2,2.2826,209.32
Cc1ccc(C)c([C@@H]2CN(C(=O)[C@@H]3CN(C)CCO3)[C@H](C)CO2)c1,1.92244,332.44
Cc1ccc(C)c2sc(N(CC[NH+]3CCOCC3)C(=O)c3ccc(F)cc3)nc12,2.6141400000000004,414.53
O=C1CCCC2COC12,0.754,126.15
COc1ccc2c(c1OC)C(=O)N(c1ccccc1Cl)C2,3.5176,303.75
CC1OCC(=O)C=C1C,0.92,126.15
Cc1cc(C(=O)NCc2ccc(C[NH+]3C[C@@H](C)C[C@H](C)C3)cc2)on1,1.97382,342.46
COC(=O)CCCN1CC[NH+]([C@@H]2C[C@H](C)CC(C)(C)C2)CC1,1.3549,311.49
COC1CCCC1OC,1.2,130.19
CCC[NH2+][C@@H](C)Cc1nc(-c2cc(F)cc(Br)c2)no1,2.5426,343.22
C[C@@H](C(=O)NC1CCN(C(=O)c2ccoc2)CC1)n1cccn1,1.4581,316.36
O=C(NNc1ccc([N+](=O)[O-])cc1)c1cccc(-c2ccoc2)c1,3.6117,323.31
CCOC(=O)c1ccc(CNC(=O)[C@@H]2C[C@H]2c2cccc(F)c2F)o1,3.1544,349.33
Cc1ccc(NC(=O)[C@@H]2CCCN(S(=O)(=O)c3ccc4c(c3)NC(=O)[C@H](C)O4)C2)cc1F,2.89292,461.52
OC1=C(OC=N)OC=C1,0.971,127.1
COc1ccc(/C=C(/C#N)C(=O)Nc2cc([N+](=O)[O-])ccc2Cl)cc1,3.80248,357.75
Cc1[nH]c2ccccc2c1C(=O)C(=O)NCC(C)C,2.43122,258.32
CCOC1(C)CC2OC12,0.953,128.17
C1C2CC3=C(ON=C3)C12,1.334,121.14
CC(C)CC(O)C#C,1.027,112.17
O=C(/C=C/C1CC1)NC[C@@H]1CCN(c2ccc(F)c(F)c2)C1,2.8735,306.36
C[C@@H](C(=O)OCC(=O)NNC(=O)c1ccc(Cl)cc1)N1C(=O)c2ccccc2C1=O,1.3289,429.82
COc1cccc(CN[C@@H](c2cc(=O)n3nc(C4CCOCC4)cc3[nH]2)C(C)C)c1,3.4121,410.52
CCC(=O)C,0.985,72.11
NC(=O)c1ccc(SCC(=O)N2CCCc3ccccc32)c([N+](=O)[O-])c1,2.7652,371.42
Cc1cc(C)nc(N[C@H]2CCO[C@@H]2c2ccc(Cl)c(F)c2)n1,3.82804,321.78
COC1CC[NH+](CCC(=O)Nc2ccc(F)cc2N)CC1,0.4302,296.37
C1C2CC3CC(O2)C1O3,0.705,126.15
CC(C)CC1NC1CO,0.365,129.2
CC1OC2C3CC=C1C23,1.35,122.17
CCCSCC(=O)NC[C@H](O)c1c(Cl)cccc1Cl,3.2862,322.26
CC(=O)NC[C@H]1CCC[NH+](C2C[C@@H](C)C[C@@H](C)C2)C1,1.2421,267.44
COC(=O)c1ccc(CN(C)S(=O)(=O)c2ccc(C)cc2)o1,2.19532,323.37
COc1ccc2[nH]cc(C(=O)C[NH+]3CCC(O)(Cn4cc[nH+]c4C)CC3)c2c1,0.39322,384.48
CCO[C@H](C)c1nc(C[NH+](C)Cc2cc[nH]c2)cs1,1.7836,280.42
CC1NC11COC1C,0.136,113.16
C[C@@H]1C[NH+](C2(C[NH3+])CCC(c3ccccc3)CC2)C[C@H]1C,1.4956,288.48
Cc1ccc(SC/C([O-])=N/S(=O)(=O)c2ccccc2C)cc1,2.54324,334.44
O=C(COc1ncnc2ccc(Br)cc12)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,3.1943,491.37
O=C([O-])c1ccc(N[C@@H]2CCCS(=O)(=O)C2)c(F)c1F,0.3174,304.29
Cc1cnc2c(S(=O)(=O)N3CC[NH+]([C@H](C)C(=O)NC4CCCC4)CC3)cccc2c1,0.8797200000000001,431.58
CC(C)c1cc([C@H]2CCCN2C(=O)c2cccs2)on1,3.8368,290.39
COc1ccc(CC(=O)CCc2ccsc2)cn1,2.8961,261.35
CCOCc1ccc(CNC(=O)N(C)Cc2ccc(F)cc2)cc1,3.7038,330.4
C#CC1CCCCCO1,1.579,124.18
CN(C)S(=O)(=O)c1ccc(SCC(=O)Nc2ncc(Cl)cc2Cl)nc1,2.7645,421.33
Cc1cccc(N2C[C@H](C(=O)Nc3ccc4c(c3)OCCO4)CC2=O)c1,2.75782,352.39
CSC[C@](C)(O)CNC(=O)Nc1ccn(-c2ncccc2Cl)n1,2.1562,355.85
CCN(CC)C(=O)c1ccc(NC(=O)COn2nnc3ccccc32)cc1,1.9806,367.41
COc1cccc(C(=O)N2CCC[C@H]2c2ccccc2Cl)n1,3.7209,316.79
CC[C@](C)([NH3+])c1nc(-c2ccccc2)nn1C,1.3492,231.32
Cc1nn(-c2nc3ccccc3o2)c2c1[C@H](c1ccc(C(=O)[O-])cc1)CC(=O)N2,2.15952,387.38
OCCC12CC1C(O)C2,0.14,128.17
CCC1CCC11CCO1,1.966,126.2
COc1ccc(C/[NH+]=C(/Nc2ccc(F)cc2)n2sc(C)cc2=N)cc1,2.08219,371.46
CCc1cccc(NC(=O)N2CC[C@@H](CNC(=O)OC(C)(C)C)C2)c1,3.6275,347.46
CSc1ncc(C(=O)Nc2ccn(CC(=O)N3CC[NH+](C)CC3)n2)n1-c1ccccc1,0.3999,440.55
CN1CCc2c1[nH+]c1ccccc1c2NC(=O)C[NH+]1CCN(C(=O)c2ccco2)CC1,0.2186,421.5
COCCOc1ncccc1C(=O)Nc1c(-c2ccccc2)nc2ccccn12,3.6738,388.43
C[C@H](NC(=O)CN(C)C(=O)OC(C)(C)C)c1ccc(-n2cccn2)cc1,2.9164,358.44
CCn1nc(C)c(C[NH+]2CCC(Oc3ccccc3)CC2)c1C,2.14614,314.45
CC[C@H](NC(=O)N1CC[C@H](C)[C@@H]1C)c1cccc([N+](=O)[O-])c1,3.4858,305.38
COc1ccccc1OCC(=O)NCc1nc(C)c(C)s1,2.46374,306.39
C=CCn1c(SCc2cc(=O)n3cc(C)ccc3n2)nnc1-c1ccoc1C,3.64114,393.47
Cn1cccc(NC(=O)c2ccc(C(=O)OC(C)(C)C)cc2)c1=O,2.5929,328.37
Cc1ccc(-c2cnnc(NN)n2)cc1C,1.44104,215.26
CCC12COC1C2C#C,1.045,122.17
Cc1c(c(=O)ocn1)F,0.482,129.09
O=C1OCOC2CC2O1,0.268,130.1
CCOCC1C(C)N1C,0.725,129.2
CO[C@H](C(=O)N[C@H](C)c1ccc(Cl)s1)c1ccccc1,3.9664,309.82
C[C@@H](C#N)CNC(=O)N1CCCCC1,1.34158,195.27
Cc1ccc(C)c(-n2c(Cc3cc(=O)[nH]c(=O)[nH]3)nnc2SCC(=O)NC2CCCCC2)c1,2.3925400000000003,468.58
COC(=O)c1ccc(OC(=O)[C@@H]2C[C@@H]2[N+](=O)[O-])cc1,1.0438,265.22
CCS[C@H]1CC[C@H]([NH2+]C)C1,0.8538,160.31
[NH3+]C1(CC(=O)NCCc2ccncc2)CCC1,0.295,234.32
COCCN(CC(C)C)S(=O)(=O)c1ccc(C)cc1Br,3.05062,364.31
COc1cccc(CNC(=O)[C@H](C)Oc2ccc(Cl)cc2[N+](=O)[O-])c1,3.3405,364.79
O=C(NCC(F)(F)F)c1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)Nc2nccs2)cc1,2.227,462.48
O=c1[nH]c2ccccc2cc1C[NH2+]Cc1ccc(N2CCSCC2)cc1,2.3449,366.51
Cc1ccc(S(=O)(=O)N[C@@H]2CC[NH2+]C2)c(Cl)c1,0.26242,275.78
CCN1C(C)CC1C#N,0.993,124.19
CC(C)(C)C(=O)Nc1ccc(C(=O)Nc2ccc([N+](=O)[O-])cc2)cc1,3.8317,341.37
CC1OC(C)C1=O,0.363,100.12
Cc1nn(CC(=O)N2CC[C@H](C(N)=O)c3ccccc32)c(C)c1[N+](=O)[O-],1.41394,357.37
CN(C)C(=O)[C@@H](OC(=O)C1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1)c1ccccc1,2.2312,488.56
Cc1ccc(C(=O)N2CCC[C@H]2c2ccsc2)cc1S(C)(=O)=O,3.43732,349.48
CN(C(=O)c1ccc(C(=O)OCc2[nH+]ccn2C)cc1)c1ccccc1,2.4728,350.4
COc1cccc(C(=O)Nc2ccc3nc(N(C)C)oc3c2)c1F,3.2938,329.33
CNC(=O)c1ccc(-c2ccccc2)s1,2.7747,217.29
N#Cc1ccncc1NCCNc1ccc([N+](=O)[O-])cc1,2.38548,283.29
CCC(CC)(C#C)C#N,1.95,121.18
COC(=O)C1=NN[C@@]2(C)C(=O)N(c3ccccc3)C(=O)[C@@H]12,0.0669,287.28
CC(C)(C)OC[C@@H](O)CN1CCN(C(=O)c2ccccc2)CC1,1.6204,320.43
C1CC1CC(=O)CC=O,0.945,126.15
Cc1ccc(C)c(NC(=O)[C@@H](C)S(=O)(=O)[C@@H](C)C(C)C)c1,3.08974,311.45
CC1C2COC1COC2,0.668,128.17
N#CC1=C(NC(=O)c2cccc([N+](=O)[O-])c2)CCC1,2.28618,257.25
COCCNC(=O)Nc1ccc(C)c(Cl)c1,2.41632,242.71
CCCC12CCC1(C)O2,2.108,126.2
CC(C)NC(=O)N[C@H]1CS(=O)(=O)Cc2ccccc21,1.3637,282.37
C#CC12CCC(CO1)O2,0.525,124.14
COC(C)(C)C[C@H](C)NC(=O)N1CCC[C@@H](C(=O)Nc2cccc(C)n2)C1,2.95372,376.5
CC(C)[C@H](O)[C@@H](c1ccccc1O)n1nnc2ccccc21,2.7432,297.36
CSc1nc(NCC[NH3+])c2sc3nc(CC(C)C)c4c(c3c2n1)CCC4,3.3024,388.59
NC(=O)c1cccnc1N1CCN(Cc2cccc(F)c2Cl)CC1,2.2952,348.81
CC12CC1C(C)(O)C2O,0.138,128.17
OC1C(C=O)C1C1CC1,0.202,126.15
CCNS(=O)(=O)c1cccc(C(=O)Nc2cccc(CC)c2)c1,2.7995,332.43
c1cn(cc1O)C2CC2,1.529,123.15
Cc1nc2ccccc2n1-c1ncnc2c1CCCCC2,3.3928199999999995,278.36
COCCCNC(=O)CN1C(=O)c2cccnc2Oc2ccccc21,1.9868,341.37
C[NH+]1CCC(CNC(=O)Nc2ccc([N+](=O)[O-])cc2)CC1,0.6409999999999999,293.35
O=c1ccnc(-c2cc(F)cc(Br)c2)[nH]1,2.3385,269.07
Cc1nc2cc3nccnc3cc2n1C,1.82492,198.23
CCN(Cc1ccc(OC)c(OC)c1)C(=O)NCc1ncoc1C,2.73192,333.39
CC1OC2(C)OC1C=C2,1.076,126.15
Cc1ccc(C(=O)Nc2nc(C)cs2)cn1,2.4072400000000003,233.3
COc1cc(F)cc(C[NH2+][C@@H](C(C)C)C2CC2)c1,2.3323,252.35
Cc1ccccc1-c1cnc(NC(=O)N(C)[C@@H](C)CC#N)s1,3.8844,314.41
COc1ccc(N2C[C@@H](C(=O)Nc3ccc(S(=O)(=O)Nc4nccc(C)n4)cc3)CC2=O)cc1,2.58602,481.53
CCC1(O)C2CCC12,1.167,112.17
COc1ccccc1COc1cccc(NC(=O)[C@H](C)n2cncn2)c1C,3.37382,366.42
C#Cc1ncc(o1)C=O,0.468,121.09
CC1CCC2CC2CC1,2.833,124.23
COc1ncc(-c2cc(-c3c(C)n[nH]c3C)nc(N)c2C#N)cn1,2.00802,321.34
COc1ccc(S(N)(=O)=O)cc1NC(=O)Cc1ccc(Br)cc1,2.2863,399.27
C1CC2C3OCC2C1O3,0.768,126.15
C[C@@H](Sc1nnc(-c2cccnc2)o1)C(=O)Nc1ccc2c(c1)OCO2,2.9796,370.39
CCOC1C2CC1(C)O2,0.953,128.17
CCc1nn(C)cc1CNC(=O)c1cc(C)c(C)s1,2.59084,277.39
COc1ccc(/C=N/NC(=O)C2CCCCC2)cc1OC,2.7342,290.36
OC1C2CC11COCC21,0.014,126.15
COc1cc(NC(=O)C2CCN(C3=NC=NC4=NC=N[C@@H]43)CC2)cc(OC)c1,1.6037,382.42
CCC(OC)C(C)=O,1.0,116.16
COCC(C#C)C1CO1,0.281,126.15
O=C(CCCN1C(=O)c2cccc3cccc(c23)C1=O)Nc1nc[nH]n1,1.9728,349.35
O=C(CCN1C(=O)c2ccccc2C1=O)Oc1ccc(N2CCCC2)cc1,2.8785,364.4
Cc1ccc(C)c(CSc2nc(=O)n3ccccc3n2)c1,2.99864,297.38
CN1C(=O)C(=Cc2cc(Br)ccc2OCC#N)C(=O)N(C)C1=S,1.95018,394.25
CC[C@H](NC(=O)C(=O)c1ccc(OC)cc1)c1c(C)nn(C)c1C,2.49574,329.4
CC1OC(=O)CC1=NO,0.152,129.12
C1CC23OCC4C2CC134,1.185,122.17
COC1CC2C(C#N)C12,0.791,123.15
CCN1C(=O)C(=O)N(CC(=O)NC2(C#N)CCCCCC2)C1=O,0.52988,320.35
Cn1cc(nc1)CC#N,0.486,121.14
c1c[nH]cc1OCC#N,0.917,122.13
CCCCC1(CC1)O,1.702,114.19
